"No.","Time","Source","Destination","Protocol","Length","Info"
"2079","116.121051508","172.16.208.128","172.16.0.4","TCP","74","12345  >  59252 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=164751544 TSecr=1427937203 WS=128"
"2080","116.121759824","172.16.0.4","172.16.208.128","TCP","66","59252  >  12345 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1427937203 TSecr=164751544"
"2081","116.121782225","172.16.0.4","172.16.208.128","TCP","67","59252  >  12345 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=1 TSval=1427937203 TSecr=164751544"
"2082","116.121804325","172.16.0.4","172.16.208.128","TCP","66","59252  >  12345 [FIN, ACK] Seq=2 Ack=1 Win=64256 Len=0 TSval=1427937204 TSecr=164751544"
"2083","116.122031230","172.16.208.128","172.16.0.4","TCP","66","12345  >  59252 [ACK] Seq=1 Ack=2 Win=65280 Len=0 TSval=164751545 TSecr=1427937203"
"2084","116.122588842","172.16.208.128","172.16.0.4","TCP","66","12345  >  59252 [FIN, ACK] Seq=1 Ack=3 Win=65280 Len=0 TSval=164751546 TSecr=1427937204"
"2085","116.123306258","172.16.0.4","172.16.208.128","TCP","66","59252  >  12345 [ACK] Seq=3 Ack=2 Win=64256 Len=0 TSval=1427937205 TSecr=164751546"
"2086","116.936625315","172.16.0.4","172.16.208.128","TCP","74","59254  >  12345 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1427938018 TSecr=0 WS=128"
"2087","116.936665416","172.16.208.128","172.16.0.4","TCP","74","12345  >  59254 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=164752360 TSecr=1427938018 WS=128"
"2088","116.937555236","172.16.0.4","172.16.208.128","TCP","66","59254  >  12345 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1427938019 TSecr=164752360"
"2089","116.937947144","172.16.0.4","172.16.208.128","TCP","67","59254  >  12345 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=1 TSval=1427938019 TSecr=164752360"
"2090","116.937959145","172.16.0.4","172.16.208.128","TCP","66","59254  >  12345 [FIN, ACK] Seq=2 Ack=1 Win=64256 Len=0 TSval=1427938020 TSecr=164752360"
"2091","116.937999146","172.16.208.128","172.16.0.4","TCP","66","12345  >  59254 [ACK] Seq=1 Ack=2 Win=65280 Len=0 TSval=164752361 TSecr=1427938019"
"2092","116.938333353","172.16.208.128","172.16.0.4","TCP","66","12345  >  59254 [FIN, ACK] Seq=1 Ack=3 Win=65280 Len=0 TSval=164752361 TSecr=1427938020"
"2093","116.938791863","172.16.0.4","172.16.208.128","TCP","66","59254  >  12345 [ACK] Seq=3 Ack=2 Win=64256 Len=0 TSval=1427938021 TSecr=164752361"
"2094","117.320505133","172.16.0.4","172.16.208.128","TCP","74","59256  >  12345 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1427938402 TSecr=0 WS=128"
"2095","117.320578035","172.16.208.128","172.16.0.4","TCP","74","12345  >  59256 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=164752744 TSecr=1427938402 WS=128"
"2096","117.321258750","172.16.0.4","172.16.208.128","TCP","66","59256  >  12345 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1427938403 TSecr=164752744"
"2097","117.321820463","172.16.0.4","172.16.208.128","TCP","67","59256  >  12345 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=1 TSval=1427938403 TSecr=164752744"
"2098","117.321836963","172.16.0.4","172.16.208.128","TCP","66","59256  >  12345 [FIN, ACK] Seq=2 Ack=1 Win=64256 Len=0 TSval=1427938403 TSecr=164752744"
"2099","117.321940965","172.16.208.128","172.16.0.4","TCP","66","12345  >  59256 [ACK] Seq=1 Ack=2 Win=65280 Len=0 TSval=164752745 TSecr=1427938403"
"2100","117.322495178","172.16.208.128","172.16.0.4","TCP","66","12345  >  59256 [FIN, ACK] Seq=1 Ack=3 Win=65280 Len=0 TSval=164752745 TSecr=1427938403"
